user_id,username,email,age,subscription,region,city,product_category,sale_amount,price,store_id,transaction_date,raw_timestamp,status
1081,user_1081,user_1081@example.com,30,Basic,East,New York,Clothing,370.87,429.05,101,2026-06-30,30/06/2026 12:00 AM,Pending
1029,user_1029,,27,Free,East,New York,Clothing,230.11,264.1,102,2026-06-26,2026-06-26 00:00:00,Pending
1097,user_1097,user_1097@example.com,21,Standard,East,New York,Home & Kitchen,305.83,333.93,101,2026-06-19,2026-06-19 00:00:00,Cancelled
1073,user_1073,user_1073@example.com,57,Basic,East,New York,Home & Kitchen,492.76,565.0,104,2026-07-10,2026-07-10 00:00:00,Pending
1047,user_1047,user_1047@example.com,59,Premium,East,New York,Sports,321.14,288.36,104,2026-07-06,2026-07-06 00:00:00,Pending
1087,user_1087,user_1087@example.com,18,Basic,East,New York,Electronics,404.47,334.28,103,2026-07-12,2026-07-12 00:00:00,
1018,user_1018,user_1018@example.com,50,Standard,East,New York,Sports,219.93,207.79,102,2026-07-02,2026-07-02 00:00:00,Active
1019,user_1019,user_1019@example.com,42,Premium,East,New York,Books,196.99,199.28,101,2026-06-27,2026-06-27 00:00:00,Cancelled
1098,user_1098,user_1098@example.com,42,Basic,East,New York,Books,11.59,12.61,102,2026-07-02,2026-07-02 00:00:00,Cancelled
1081,user_1081,user_1081@example.com,38,Basic,East,New York,Sports,477.21,557.09,103,2026-07-03,,Cancelled
1039,user_1039,user_1039@example.com,51,Premium,East,New York,Electronics,368.63,439.11,102,2026-07-14,2026-07-14 00:00:00,Pending
1033,user_1033,user_1033@example.com,28,Basic,East,New York,Home & Kitchen,205.51,195.1,104,2026-07-15,15/07/2026 12:00 AM,Active
1075,user_1075,user_1075@example.com,15,Premium,East,New York,Electronics,122.18,139.76,101,2026-07-02,2026-07-02 00:00:00,Pending
1069,user_1069,user_1069@example.com,51,Free,East,New York,Clothing,394.46,345.61,101,2026-06-27,2026-06-27 00:00:00,
1093,user_1093,user_1093@example.com,56,Premium,East,New York,Electronics,207.28,237.27,102,2026-07-12,2026-07-12 00:00:00,
1023,user_1023,user_1023@example.com,19,Free,East,New York,Sports,57.98,58.92,101,2026-07-16,2026-07-16 00:00:00,Pending
1052,user_1052,user_1052@example.com,40,Premium,East,New York,Clothing,195.7,177.32,104,2026-07-09,2026-07-09 00:00:00,
1019,user_1019,user_1019@example.com,18,Premium,East,New York,Home & Kitchen,38.01,38.05,102,2026-07-17,17/07/2026 12:00 AM,Pending
1008,user_1008,user_1008@example.com,30,Free,East,New York,Electronics,471.38,486.26,101,2026-06-29,2026-06-29 00:00:00,Cancelled
1033,user_1033,user_1033@example.com,30,Standard,East,New York,Books,74.13,72.86,101,2026-07-18,2026-07-18 00:00:00,Active
1009,user_1009,user_1009@example.com,23,Standard,East,New York,Electronics,440.84,380.49,103,2026-06-29,2026-06-29 00:00:00,Active
1085,user_1085,user_1085@example.com,57,Premium,East,New York,Clothing,139.59,153.13,102,2026-07-10,2026-07-10 00:00:00,Cancelled
1026,user_1026,user_1026@example.com,47,Free,East,New York,Home & Kitchen,453.61,379.64,104,2026-06-22,22/06/2026 12:00 AM,Pending
1081,user_1081,user_1081@example.com,43,Free,East,New York,Sports,14.74,,102,2026-07-01,,Cancelled
1074,user_1074,user_1074@example.com,17,Standard,East,New York,Home & Kitchen,450.5,515.5,103,2026-07-12,2026-07-12 00:00:00,Cancelled
1099,user_1099,user_1099@example.com,54,Basic,East,New York,Clothing,433.66,487.57,104,2026-07-18,2026-07-18 00:00:00,
1085,user_1085,user_1085@example.com,32,Basic,East,New York,Electronics,197.45,,104,2026-07-11,2026-07-11 00:00:00,Cancelled
1039,user_1039,user_1039@example.com,29,Premium,East,New York,Clothing,205.25,169.9,103,2026-07-07,2026-07-07 00:00:00,Cancelled
1003,user_1003,user_1003@example.com,26,Standard,East,New York,Electronics,63.12,68.89,103,2026-07-05,2026-07-05 00:00:00,
1073,user_1073,,42,Premium,East,New York,Sports,463.53,504.21,102,2026-07-07,2026-07-07 00:00:00,Cancelled
1079,user_1079,user_1079@example.com,34,Standard,East,New York,Books,169.83,173.53,102,2026-07-05,2026-07-05 00:00:00,Pending
1078,user_1078,user_1078@example.com,15,Standard,East,New York,Home & Kitchen,112.99,117.81,103,2026-07-04,2026-07-04 00:00:00,
1094,user_1094,user_1094@example.com,47,Standard,East,New York,Electronics,411.03,439.44,102,2026-06-23,23/06/2026 12:00 AM,Pending
1060,user_1060,user_1060@example.com,44,Free,East,New York,Sports,105.27,105.03,102,2026-07-14,14/07/2026 12:00 AM,Active
1099,user_1099,user_1099@example.com,59,Free,East,New York,Electronics,283.13,240.25,102,2026-06-23,2026-06-23 00:00:00,Cancelled
1096,user_1096,user_1096@example.com,47,Free,East,New York,Sports,228.5,261.54,104,2026-07-10,2026-07-10 00:00:00,Cancelled
1098,user_1098,user_1098@example.com,30,Standard,East,New York,Books,47.97,43.59,103,2026-06-20,2026-06-20 00:00:00,Pending
1049,user_1049,user_1049@example.com,19,Free,East,New York,Books,172.13,141.99,104,2026-07-06,2026-07-06 00:00:00,Active
1097,user_1097,user_1097@example.com,37,Standard,East,New York,Books,428.19,414.32,102,2026-07-03,2026-07-03 00:00:00,Active
1049,user_1049,user_1049@example.com,40,Basic,East,New York,Books,460.58,466.87,104,2026-06-30,30/06/2026 12:00 AM,
1017,user_1017,user_1017@example.com,31,Free,East,New York,Home & Kitchen,113.71,125.59,104,2026-07-10,2026-07-10 00:00:00,Cancelled
1010,user_1010,user_1010@example.com,18,Standard,East,New York,Clothing,328.57,348.51,101,2026-06-18,2026-06-18 00:00:00,Pending
1030,user_1030,user_1030@example.com,51,Basic,East,New York,Books,352.74,305.87,101,2026-06-24,2026-06-24 00:00:00,Active
1074,,user_1074@example.com,58,Free,East,New York,Books,471.32,488.68,102,2026-07-15,2026-07-15 00:00:00,Active
1072,user_1072,user_1072@example.com,42,Standard,East,New York,Electronics,257.92,293.99,104,2026-07-15,2026-07-15 00:00:00,
