id,name,age,salary,department,join_date
10001,Julia Wilson,37,69623.33,Product,2024-03-11
10002,Alice Wright,46,70358.59,Marketing,2024-09-09
10003,Alice Brown,41,75849.33,Legal,2025-09-18
10004,Hannah Prince,49,140188.47,Marketing,2024-01-29
10005,Hannah Wilson,53,150550.72,Sales,2024-11-03
10006,George Davis,48,181990.8,HR,2024-06-15
10007,George Prince,60,102057.31,Product,2025-09-19
10008,Ian Smith,28,140333.56,Legal,2025-03-13
10009,Bob Miller,34,74539.16,Engineering,2024-08-04
10010,Diana Anderson,62,86891.67,Marketing,2024-08-10
10011,Alice Miller,26,122299.31,Finance,2024-07-24
10012,Ian Brown,30,88422.55,Finance,2025-04-17
10013,Hannah Taylor,60,129714.55,Finance,2024-08-19
10014,Charlie Smith,52,65225.92,Finance,2024-04-17
10015,George Prince,49,73680.23,Sales,2023-04-14
10016,Alice Brown,37,59106.23,Sales,2023-04-26
10017,Julia Johnson,33,46251.15,Legal,2025-09-25
10018,George Smith,30,75889.02,Finance,2025-04-29
10019,Julia Smith,24,181037.14,Product,2025-01-01
10020,Charlie Taylor,28,72645.16,Product,2024-12-03
10021,Julia Brown,39,184556.63,Sales,2023-11-27
10022,Hannah Miller,23,108758.35,Product,2023-02-25
10023,Evan Johnson,24,142564.72,HR,2024-03-12
10024,Diana Wilson,51,172294.56,Sales,2024-04-20
10025,Julia Johnson,23,45081.95,Engineering,2024-01-10
10026,Bob Anderson,63,175596.98,Product,2024-05-13
10027,Charlie Smith,41,113672.01,Engineering,2023-08-05
10028,Hannah Miller,56,161006.61,Sales,2025-01-16
10029,Julia Wilson,26,88476.44,Sales,2023-02-20
10030,Julia Wilson,48,100523.38,Product,2024-08-10
10031,Charlie Davis,45,169576.4,Product,2024-06-23
10032,George Wright,56,96925.39,Sales,2024-10-15
10033,Diana Johnson,22,139558.69,Engineering,2023-02-02
10034,Charlie Smith,22,95463.9,Finance,2025-09-17
10035,Julia Johnson,57,127148.33,Product,2025-03-19
10036,Evan Johnson,43,52340.33,Marketing,2024-06-26
10037,Charlie Johnson,65,47769.66,Finance,2024-02-10
10038,Evan Miller,61,175762.41,Product,2025-05-25
10039,Evan Davis,57,74777.96,HR,2023-02-14
10040,Charlie Davis,52,145571.02,Sales,2023-07-06
10041,Diana Taylor,29,122297.96,Legal,2023-05-27
10042,Ian Wilson,37,154438.74,Marketing,2024-09-20
10043,Bob Anderson,58,55332.96,HR,2025-07-25
10044,Evan Davis,54,130445.07,Legal,2024-07-22
10045,Bob Miller,50,167084.13,Engineering,2023-04-20
10046,Charlie Wilson,53,147374.74,HR,2025-06-06
10047,Bob Davis,65,80795.86,HR,2025-07-24
10048,Alice Davis,44,177731.68,Marketing,2023-12-12
10049,Charlie Taylor,55,131116.21,Engineering,2023-09-27
10050,Alice Wilson,62,111000.76,Product,2023-02-06
10051,George Johnson,31,49451.15,Sales,2023-10-01
10052,Ian Smith,52,104294.09,Legal,2023-05-07
10053,Alice Brown,30,183482.56,Finance,2023-02-26
10054,Julia Prince,37,84142.75,Finance,2025-07-30
10055,George Wilson,56,137456.78,Product,2025-08-01
10056,Diana Wilson,32,103253.94,Finance,2024-07-01
10057,Charlie Davis,53,167149.27,Engineering,2025-01-23
10058,Diana Prince,32,45010.36,Finance,2025-03-03
10059,Bob Anderson,51,90793.54,Legal,2023-06-18
10060,Fiona Prince,36,85395.16,Sales,2023-03-19
10061,Charlie Brown,52,84331.94,Legal,2023-06-20
10062,Julia Smith,57,178386.68,Finance,2023-06-22
10063,Julia Smith,34,115895.85,Engineering,2023-10-07
10064,Bob Wright,26,144200.89,Engineering,2023-03-02
10065,Ian Anderson,44,78545.04,Product,2025-01-01
10066,George Smith,37,156658.76,Finance,2023-02-06
10067,George Miller,52,92684.43,Marketing,2024-09-19
10068,Diana Brown,54,79577.77,Marketing,2025-01-01
10069,Ian Wright,64,128986.41,Sales,2023-03-29
10070,Fiona Wilson,34,76375.36,Finance,2025-04-19
10071,Hannah Johnson,42,132916.67,Marketing,2023-09-30
10072,Charlie Davis,31,121290.31,Engineering,2024-08-01
10073,Evan Taylor,44,98806.4,Engineering,2024-09-05
10074,Diana Davis,54,91264.43,Marketing,2024-09-15
10075,Julia Taylor,59,113931.07,Sales,2025-09-10
10076,Charlie Davis,28,64202.02,Marketing,2024-01-05
10077,Charlie Wilson,39,87185.14,HR,2024-04-14
10078,Bob Prince,46,71215.21,Engineering,2024-02-12
10079,Alice Prince,31,45771.45,Sales,2024-03-19
10080,Alice Prince,46,162258.44,Engineering,2023-01-07
10081,Alice Wright,32,87002.43,Finance,2025-01-06
10082,Ian Smith,27,133019.21,Sales,2024-05-08
10083,Charlie Brown,47,163562.81,Engineering,2024-12-02
10084,Evan Prince,24,87530.12,Legal,2023-01-29
10085,Alice Brown,60,147015.26,Sales,2025-06-30
10086,Evan Miller,31,87666.67,Engineering,2023-09-20
10087,Fiona Prince,49,89839.9,Legal,2025-02-01
10088,Bob Wright,53,127705.15,HR,2024-12-18
10089,Bob Prince,57,133726.11,Engineering,2025-04-17
10090,Diana Prince,41,59310.53,Product,2025-09-19
10091,Fiona Taylor,55,157937.03,HR,2024-05-09
10092,Fiona Wilson,42,118958.83,Product,2023-08-20
10093,Charlie Wilson,43,174952.19,Engineering,2024-08-09
10094,Bob Anderson,47,170286.63,Sales,2023-12-08
10095,Evan Anderson,50,72249.72,Sales,2025-03-05
10096,Ian Brown,40,157052.84,Finance,2025-02-11
10097,George Wright,48,98800.63,Engineering,2024-05-20
10098,Charlie Wright,47,104798.52,Legal,2025-04-16
10099,Fiona Wilson,55,129261.43,HR,2025-04-14
10100,Ian Brown,23,148145.89,Product,2023-09-19
10101,Diana Brown,56,141997.83,HR,2023-02-19
10102,Charlie Prince,54,170486.62,Engineering,2024-07-07
10103,Julia Smith,56,122310.08,HR,2023-08-27
10104,Charlie Wright,56,102477.58,HR,2023-03-13
10105,Diana Wright,33,49857.03,Finance,2024-04-02
10106,Julia Johnson,47,119742.9,Sales,2023-06-02
10107,Evan Smith,34,164659.43,HR,2024-10-14
10108,Charlie Wright,53,88562.64,Engineering,2025-08-14
10109,Alice Prince,39,49408.9,HR,2025-02-09
10110,Evan Wright,58,84368.05,Sales,2025-08-20
10111,Julia Wilson,51,151080.52,HR,2023-08-31
10112,George Miller,38,161113.57,Legal,2023-01-10
10113,Julia Miller,62,122773.75,Engineering,2024-08-14
10114,Diana Miller,23,145105.38,HR,2025-01-29
10115,Evan Davis,49,139238.84,HR,2023-03-04
10116,Alice Smith,37,152542.84,Sales,2025-01-31
10117,Julia Anderson,42,175534.52,Legal,2024-05-29
10118,Bob Johnson,34,148945.69,HR,2025-08-26
10119,Evan Wright,32,145024.73,Legal,2025-06-11
10120,Alice Wilson,36,61327.26,Finance,2024-01-04
10121,Hannah Johnson,45,154059.21,Finance,2023-07-13
10122,Julia Johnson,55,158743.51,Finance,2023-09-17
10123,Ian Wilson,63,71831.3,Marketing,2023-09-20
10124,Evan Johnson,65,146942.0,Legal,2024-05-10
10125,Bob Brown,56,58103.8,Legal,2023-03-25
10126,Evan Miller,63,69691.87,Marketing,2025-04-05
10127,Evan Brown,60,53214.51,Engineering,2024-10-04
10128,Hannah Brown,46,101669.67,Legal,2023-01-22
10129,Evan Wilson,46,63873.5,Engineering,2023-10-31
10130,Evan Anderson,47,160960.05,Legal,2024-11-05
10131,Bob Brown,42,136479.32,Marketing,2024-06-15
10132,Charlie Prince,36,140258.39,Legal,2024-03-03
10133,George Smith,63,95915.28,Product,2025-03-11
10134,Hannah Davis,60,64725.81,HR,2025-08-27
10135,Hannah Wright,63,89185.23,Sales,2023-05-28
10136,Ian Brown,33,87308.09,Sales,2024-07-18
10137,Hannah Smith,47,123312.82,Engineering,2023-06-26
10138,Bob Davis,44,63867.17,Engineering,2025-05-11
10139,Hannah Taylor,55,58013.5,Finance,2023-03-10
10140,Julia Johnson,37,61536.11,Sales,2024-06-24
10141,Hannah Smith,23,95684.31,Marketing,2023-06-03
10142,Fiona Miller,35,116213.13,Product,2023-05-10
10143,Julia Wright,44,70840.81,Marketing,2025-04-06
10144,Julia Brown,56,179502.79,HR,2024-01-01
10145,Julia Wilson,39,157976.34,Engineering,2025-06-06
10146,Hannah Taylor,25,106978.47,Product,2024-12-12
10147,Alice Prince,36,57260.12,Finance,2025-03-06
10148,Charlie Brown,27,130498.94,Sales,2025-04-14
10149,Hannah Wilson,60,163078.72,Engineering,2024-06-03
10150,Bob Wilson,27,70752.48,Marketing,2024-07-28
10151,Fiona Taylor,26,136601.83,Marketing,2023-04-08
10152,Diana Anderson,27,149040.23,Product,2025-05-10
10153,Ian Taylor,63,172360.16,Finance,2023-02-16
10154,Alice Wright,63,138762.27,Product,2023-02-11
10155,Evan Johnson,46,161047.64,Product,2025-01-10
10156,Charlie Prince,22,92874.99,Engineering,2024-11-11
10157,Hannah Wright,30,84439.44,HR,2023-03-28
10158,Charlie Smith,58,61794.77,Product,2024-06-22
10159,Alice Taylor,22,77457.83,Engineering,2024-06-08
10160,Ian Wilson,48,77760.55,Engineering,2023-04-25
