customer_id,name,email,city,signup_date,segment
CUST0001,Vihaan Sharma,Vihaan.Sharma769@Outlook.Com,Hyderabad,2025-12-12,Consumer
CUST0002,Aditya Das,Aditya.Das442@Gmail.Com,Mumbai,2026-04-24,Consumer
CUST0003,Angel Chawla,Angel.Chawla235@Hotmail.Com,Ahmedabad,2026-07-22,Consumer
CUST0004,Ananya Mehta,Ananya.Mehta104@Hotmail.Com,Delhi,2025-07-26,Corporate
CUST0005,Angel Mehta,Angel.Mehta954@Hotmail.Com,Delhi,2025-01-09,Corporate
CUST0006,Myra Patel,Myra.Patel731@Gmail.Com,Mumbai,2024-09-19,Consumer
CUST0007,Vihaan Iyer,Vihaan.Iyer294@Hotmail.Com,Chennai,2026-02-12,Corporate
CUST0008,Aditya Sen,Aditya.Sen660@Yahoo.Com,Jaipur,2025-11-20,Consumer
CUST0009,Angel Reddy,Angel.Reddy711@Outlook.Com,Mumbai,2025-12-06,Consumer
CUST0010,Myra Kulkarni,Myra.Kulkarni227@Foodie.Io,Pune,2025-06-18,Home Office
CUST0011,Angel Choudhury,Angel.Choudhury279@Foodie.Io,Kolkata,2024-12-08,Corporate
CUST0012,Anika Gupta,Anika.Gupta783@Gmail.Com,Delhi,2026-02-22,Home Office
CUST0013,Saanvi Iyer,no_email@example.com,Jaipur,2025-11-13,Home Office
CUST0014,Angel Rao,Angel.Rao797@Foodie.Io,Chennai,2026-04-05,Corporate
CUST0015,Krishna Saxena,Krishna.Saxena790@Yahoo.Com,Jaipur,2026-04-11,Home Office
CUST0016,Arjun Deshmukh,Arjun.Deshmukh790@Yahoo.Com,Jaipur,2025-01-31,Consumer
CUST0017,Diya Singh,Diya.Singh255@Gmail.Com,Hyderabad,2024-12-25,Consumer
CUST0018,Angel Joshi,Angel.Joshi141@Foodie.Io,Pune,2025-01-12,Consumer
CUST0019,Reyansh Choudhury,Reyansh.Choudhury783@Foodie.Io,Hyderabad,2025-09-12,Corporate
CUST0020,Unknown Customer,Navya.Bhat133@Yahoo.Com,Hyderabad,2026-05-24,Corporate
CUST0021,Aarav Gupta,Aarav.Gupta734@Foodie.Io,Mumbai,2025-12-06,Consumer
CUST0022,Ayaan Rao,Ayaan.Rao695@Hotmail.Com,Hyderabad,2025-01-22,Consumer
CUST0023,Ayaan Kapoor,Ayaan.Kapoor836@Hotmail.Com,Hyderabad,2026-04-23,Consumer
CUST0024,Vivaan Mehta,Vivaan.Mehta72@Hotmail.Com,Chennai,2026-04-08,Consumer
CUST0025,Sai Rao,Sai.Rao483@Yahoo.Com,Delhi,2025-05-01,Home Office
CUST0026,Aarav Gupta,Aarav.Gupta958@Yahoo.Com,Bangalore,2025-06-07,Corporate
CUST0027,Sai Iyer,Sai.Iyer12@Hotmail.Com,Ahmedabad,2025-04-19,Corporate
CUST0028,Angel Kapoor,Angel.Kapoor168@Yahoo.Com,Ahmedabad,2025-12-18,Consumer
CUST0029,Vivaan Verma,Vivaan.Verma608@Hotmail.Com,Jaipur,2025-01-31,Consumer
CUST0030,Aditya Sen,Aditya.Sen79@Foodie.Io,Hyderabad,2025-06-10,Consumer
CUST0031,Vivaan Sen,Vivaan.Sen93@Hotmail.Com,Jaipur,2025-09-08,Corporate
CUST0032,Saanvi Joshi,cust0032@example.com,Unknown City,2025-04-16,Corporate
CUST0033,Riya Das,Riya.Das112@Gmail.Com,Jaipur,2025-12-22,Home Office
CUST0034,Ayaan Deshmukh,Ayaan.Deshmukh301@Yahoo.Com,Pune,2025-01-18,Home Office
CUST0035,Navya Sharma,Navya.Sharma693@Techcorp.Com,Ahmedabad,2024-09-17,Consumer
CUST0036,Vihaan Choudhury,Vihaan.Choudhury169@Outlook.Com,Ahmedabad,2024-11-16,Consumer
CUST0037,Krishna Saxena,Krishna.Saxena510@Outlook.Com,Unknown City,2026-04-25,Home Office
CUST0038,Arjun Rao,no_email@example.com,Pune,2025-01-10,Home Office
CUST0039,Arjun Choudhury,Arjun.Choudhury46@Outlook.Com,Jaipur,2026-02-27,Corporate
CUST0040,Vivaan Deshmukh,Vivaan.Deshmukh225@Foodie.Io,Hyderabad,2024-09-14,Consumer
CUST0041,Unknown Customer,Riya.Joshi957@Yahoo.Com,Bangalore,2026-01-28,Corporate
CUST0042,Aadhya Reddy,Aadhya.Reddy283@Yahoo.Com,Delhi,2025-07-02,Consumer
CUST0043,Pari Deshmukh,Pari.Deshmukh322@Yahoo.Com,Hyderabad,2026-07-04,Home Office
CUST0044,Krishna Deshmukh,Krishna.Deshmukh666@Techcorp.Com,Kolkata,2025-01-25,Corporate
CUST0045,Sai Das,Sai.Das995@Outlook.Com,Mumbai,2026-04-08,Home Office
CUST0046,Riya Saxena,no_email@example.com,Hyderabad,2025-11-10,Consumer
CUST0047,Angel Patel,Angel.Patel382@Hotmail.Com,Delhi,2024-09-16,Corporate
CUST0048,Ishaan Saxena,Ishaan.Saxena326@Foodie.Io,Kolkata,2025-08-28,Corporate
CUST0049,Saanvi Nair,Saanvi.Nair640@Techcorp.Com,Ahmedabad,2025-06-08,Home Office
CUST0050,Myra Sen,Myra.Sen680@Outlook.Com,Pune,2025-05-02,Corporate
CUST0051,Sai Gupta,Sai.Gupta300@Techcorp.Com,Chennai,2026-04-24,Consumer
CUST0052,Aarav Verma,Aarav.Verma260@Hotmail.Com,Delhi,2025-04-18,Corporate
CUST0053,Unknown Customer,Saanvi.Kapoor419@Yahoo.Com,Bangalore,2024-09-25,Home Office
CUST0054,Vihaan Chawla,Vihaan.Chawla234@Yahoo.Com,Jaipur,2025-04-09,Consumer
CUST0055,Arjun Bhat,Arjun.Bhat693@Techcorp.Com,Jaipur,2024-11-26,Corporate
CUST0056,Navya Chawla,Navya.Chawla860@Techcorp.Com,Pune,2026-02-16,Home Office
CUST0057,Krishna Saxena,Krishna.Saxena506@Foodie.Io,Hyderabad,2025-10-20,Corporate
CUST0058,Ananya Choudhury,Ananya.Choudhury92@Yahoo.Com,Bangalore,2025-12-04,Corporate
