customer_id,name,email,city,signup_date,segment
CUST0001,Vihaan Sharma,vihaan.sharma769@outlook.com,Hyderabad,2025-12-12,Consumer
CUST0002,Aditya Das,aditya.das442@gmail.com,Mumbai,2026-04-24,Consumer
CUST0003,Angel Chawla,angel.chawla235@hotmail.com,Ahmedabad,2026-07-22,Consumer
CUST0004,Ananya Mehta,ananya.mehta104@hotmail.com,Delhi,2025-07-26,Corporate
CUST0005,Angel Mehta,angel.mehta954@hotmail.com,Delhi,2025-01-09,Corporate
CUST0006,Myra Patel,myra.patel731@gmail.com,Mumbai,2024-09-19,Consumer
CUST0007,Vihaan Iyer,vihaan.iyer294@hotmail.com,Chennai,2026-02-12,Corporate
CUST0008,Aditya Sen,aditya.sen660@yahoo.com,Jaipur,2025-11-20,Consumer
CUST0009,Angel Reddy,angel.reddy711@outlook.com,Mumbai,2025-12-06,Consumer
CUST0010,Myra Kulkarni,myra.kulkarni227@foodie.io,Pune,2025-06-18,Home Office
CUST0011,Angel Choudhury,angel.choudhury279@foodie.io,Kolkata,2024-12-08,Corporate
CUST0012,Anika Gupta,anika.gupta783@gmail.com,Delhi,2026-02-22,Home Office
CUST0013,Saanvi Iyer,,Jaipur,2025-11-13,Home Office
CUST0014,Angel Rao,angel.rao797@foodie.io,Chennai,2026-04-05,Corporate
CUST0015,Krishna Saxena,krishna.saxena790@yahoo.com,Jaipur,2026-04-11,Home Office
CUST0016,Arjun Deshmukh,arjun.deshmukh790@yahoo.com,Jaipur,2025-01-31,Consumer
CUST0017,Diya Singh,diya.singh255@gmail.com,Hyderabad,2024-12-25,Consumer
CUST0018,Angel Joshi,angel.joshi141@foodie.io,Pune,2025-01-12,Consumer
CUST0019,Reyansh Choudhury,reyansh.choudhury783@foodie.io,Hyderabad,2025-09-12,Corporate
CUST0020,,navya.bhat133@yahoo.com,Hyderabad,2026-05-24,Corporate
CUST0021,Aarav Gupta,aarav.gupta734@foodie.io,Mumbai,2025-12-06,Consumer
CUST0022,Ayaan Rao,ayaan.rao695@hotmail.com,Hyderabad,2025-01-22,Consumer
CUST0023,Ayaan Kapoor,ayaan.kapoor836@hotmail.com,Hyderabad,2026-04-23,Consumer
CUST0024,Vivaan Mehta,vivaan.mehta72@hotmail.com,Chennai,2026-04-08,Consumer
CUST0025,Sai Rao,sai.rao483@yahoo.com,Delhi,2025-05-01,Home Office
CUST0026,Aarav Gupta,aarav.gupta958@yahoo.com,Bangalore,2025-06-07,Corporate
CUST0027,Sai Iyer,sai.iyer12@hotmail.com,Ahmedabad,2025-04-19,Corporate
CUST0028,Angel Kapoor,angel.kapoor168@yahoo.com,Ahmedabad,2025-12-18,Consumer
CUST0029,Vivaan Verma,vivaan.verma608@hotmail.com,Jaipur,2025-01-31,Consumer
CUST0030,Aditya Sen,aditya.sen79@foodie.io,Hyderabad,2025-06-10,Consumer
CUST0031,Vivaan Sen,vivaan.sen93@hotmail.com,Jaipur,2025-09-08,Corporate
CUST0032,Saanvi Joshi,invalid_email_format_no_at,,2025-04-16,Corporate
CUST0033,Riya Das,riya.das112@gmail.com,Jaipur,2025-12-22,Home Office
CUST0034,Ayaan Deshmukh,ayaan.deshmukh301@yahoo.com,Pune,2025-01-18,Home Office
CUST0035,Navya Sharma,navya.sharma693@techcorp.com,Ahmedabad,2024-09-17,Consumer
CUST0036,Vihaan Choudhury,vihaan.choudhury169@outlook.com,Ahmedabad,2024-11-16,Consumer
CUST0037,Krishna Saxena,krishna.saxena510@outlook.com,,2026-04-25,Home Office
CUST0038,Arjun Rao,,Pune,2025-01-10,Home Office
CUST0039,Arjun Choudhury,arjun.choudhury46@outlook.com,Jaipur,2026-02-27,Corporate
CUST0040,Vivaan Deshmukh,vivaan.deshmukh225@foodie.io,Hyderabad,2024-09-14,Consumer
CUST0041,,riya.joshi957@yahoo.com,Bangalore,2026-01-28,Corporate
CUST0042,Aadhya Reddy,aadhya.reddy283@yahoo.com,Delhi,2025-07-02,Consumer
CUST0043,Pari Deshmukh,pari.deshmukh322@yahoo.com,Hyderabad,2026-07-04,Home Office
CUST0044,Krishna Deshmukh,krishna.deshmukh666@techcorp.com,Kolkata,2025-01-25,Corporate
CUST0045,Sai Das,sai.das995@outlook.com,Mumbai,2026-04-08,Home Office
CUST0046,Riya Saxena,,Hyderabad,2025-11-10,Consumer
CUST0047,Angel Patel,angel.patel382@hotmail.com,Delhi,2024-09-16,Corporate
CUST0048,Ishaan Saxena,ishaan.saxena326@foodie.io,Kolkata,2025-08-28,Corporate
CUST0049,Saanvi Nair,saanvi.nair640@techcorp.com,Ahmedabad,2025-06-08,Home Office
CUST0050,Myra Sen,myra.sen680@outlook.com,Pune,2025-05-02,Corporate
CUST0051,Sai Gupta,sai.gupta300@techcorp.com,Chennai,2026-04-24,Consumer
CUST0052,Aarav Verma,aarav.verma260@hotmail.com,Delhi,2025-04-18,Corporate
CUST0053,,saanvi.kapoor419@yahoo.com,Bangalore,2024-09-25,Home Office
CUST0054,Vihaan Chawla,vihaan.chawla234@yahoo.com,Jaipur,2025-04-09,Consumer
CUST0055,Arjun Bhat,arjun.bhat693@techcorp.com,Jaipur,2024-11-26,Corporate
CUST0056,Navya Chawla,navya.chawla860@techcorp.com,Pune,2026-02-16,Home Office
CUST0057,Krishna Saxena,krishna.saxena506@foodie.io,Hyderabad,2025-10-20,Corporate
CUST0058,Ananya Choudhury,ananya.choudhury92@yahoo.com,Bangalore,2025-12-04,Corporate
CUST0059,Aadhya Kulkarni,aadhya.kulkarni565@hotmail.com,Kolkata,2026-05-26,Consumer
CUST0060,Aarav Das,aarav.das399@hotmail.com,Mumbai,2025-08-02,Corporate
CUST0061,Aadhya Choudhury,aadhya.choudhury775@foodie.io,Jaipur,2024-11-18,Consumer
CUST0062,Saanvi Kulkarni,saanvi.kulkarni694@foodie.io,Kolkata,2026-02-09,Corporate
CUST0063,Saanvi Das,saanvi.das587@foodie.io,Mumbai,2026-05-04,Home Office
CUST0064,Krishna Iyer,krishna.iyer345@yahoo.com,Pune,2025-08-28,Corporate
