customer_id,name,city,recency_days,frequency,monetary,rfm_score,rfm_segment
CUST0116,Unknown Customer,Mumbai,27,9,17847.44,444,Champions / VIP
CUST0464,Aadhya Mehta,Kolkata,135,9,15947.61,244,At Risk
CUST0143,Sai Deshmukh,Chennai,51,10,14969.09,344,Champions / VIP
CUST0424,Arjun Gupta,Delhi,59,10,14571.99,344,Champions / VIP
CUST0966,Sai Sharma,Chennai,2,10,14080.28,444,Champions / VIP
CUST0184,Krishna Gupta,Delhi,53,10,13490.45,344,Champions / VIP
CUST0317,Ishaan Nair,Delhi,77,9,13461.3,344,Champions / VIP
CUST0400,Krishna Chawla,Chennai,0,9,13408.35,444,Champions / VIP
CUST0570,Pari Bhat,Mumbai,45,7,13086.31,344,Champions / VIP
CUST0415,Arjun Mehta,Ahmedabad,60,9,12972.47,344,Champions / VIP
CUST0834,Navya Chawla,Pune,32,8,12561.51,444,Champions / VIP
CUST0888,Navya Iyer,Ahmedabad,4,9,12509.17,444,Champions / VIP
CUST0663,Ananya Choudhury,Pune,18,9,12347.36,444,Champions / VIP
CUST0881,Vihaan Choudhury,Jaipur,11,8,12125.11,444,Champions / VIP
CUST0598,Aarav Kulkarni,Kolkata,53,8,12108.33,344,Champions / VIP
CUST0638,Reyansh Choudhury,Chennai,16,7,11993.1,444,Champions / VIP
CUST0413,Anika Iyer,Jaipur,60,9,11913.74,344,Champions / VIP
CUST0341,Riya Reddy,Pune,27,8,11856.32,444,Champions / VIP
CUST0553,Ayaan Sharma,Pune,187,6,11769.47,144,At Risk
CUST0503,Sai Mehta,Kolkata,79,7,11736.84,344,Champions / VIP
CUST0158,Unknown Customer,Jaipur,22,9,11616.11,444,Champions / VIP
CUST0927,Reyansh Choudhury,Chennai,53,6,11569.84,344,Champions / VIP
CUST0208,Ishaan Choudhury,Kolkata,20,6,11568.63,444,Champions / VIP
CUST0591,Vivaan Reddy,Ahmedabad,7,8,11502.15,444,Champions / VIP
CUST0242,Vivaan Singh,Bangalore,154,7,11395.38,244,At Risk
CUST0757,Sai Deshmukh,Bangalore,44,7,11314.19,344,Champions / VIP
CUST0963,Ayaan Patel,Kolkata,159,6,11253.94,244,At Risk
CUST0449,Unknown Customer,Mumbai,31,6,11106.08,444,Champions / VIP
CUST0442,Reyansh Kulkarni,Mumbai,7,5,11007.45,444,Champions / VIP
CUST0271,Angel Das,Bangalore,41,9,10993.07,344,Champions / VIP
CUST0690,Aarav Verma,Chennai,21,7,10772.97,444,Champions / VIP
CUST0866,Ishaan Chawla,Mumbai,64,8,10750.06,344,Champions / VIP
CUST0039,Arjun Choudhury,Jaipur,176,5,10698.26,144,At Risk
CUST0813,Angel Verma,Hyderabad,90,9,10698.18,244,At Risk
CUST0002,Aditya Das,Mumbai,76,7,10614.77,344,Champions / VIP
CUST0622,Riya Deshmukh,Pune,70,7,10508.81,344,Champions / VIP
CUST0452,Angel Iyer,Ahmedabad,91,7,10450.53,244,At Risk
