customer_id,customer_name,city,segment,total_orders,lifetime_spend,ltv_rank
CUST0116,Unknown Customer,Mumbai,Corporate,9,17847.44,1
CUST0464,Aadhya Mehta,Kolkata,Consumer,9,15947.61,2
CUST0143,Sai Deshmukh,Chennai,Home Office,10,14969.09,3
CUST0424,Arjun Gupta,Delhi,Corporate,10,14571.99,4
CUST0966,Sai Sharma,Chennai,Corporate,10,14080.28,5
CUST0184,Krishna Gupta,Delhi,Home Office,10,13490.45,6
CUST0317,Ishaan Nair,Delhi,Corporate,9,13461.3,7
CUST0400,Krishna Chawla,Chennai,Corporate,9,13408.35,8
CUST0570,Pari Bhat,Mumbai,Corporate,7,13086.31,9
CUST0415,Arjun Mehta,Ahmedabad,Consumer,9,12972.47,10
CUST0834,Navya Chawla,Pune,Home Office,8,12561.51,11
CUST0888,Navya Iyer,Ahmedabad,Corporate,9,12509.17,12
CUST0663,Ananya Choudhury,Pune,Home Office,9,12347.36,13
CUST0881,Vihaan Choudhury,Jaipur,Consumer,8,12125.11,14
CUST0598,Aarav Kulkarni,Kolkata,Corporate,8,12108.33,15
CUST0638,Reyansh Choudhury,Chennai,Consumer,7,11993.1,16
CUST0413,Anika Iyer,Jaipur,Home Office,9,11913.74,17
CUST0341,Riya Reddy,Pune,Home Office,8,11856.32,18
CUST0553,Ayaan Sharma,Pune,Consumer,6,11769.47,19
CUST0503,Sai Mehta,Kolkata,Home Office,7,11736.84,20
CUST0158,Unknown Customer,Jaipur,Consumer,9,11616.11,21
CUST0927,Reyansh Choudhury,Chennai,Home Office,6,11569.84,22
CUST0208,Ishaan Choudhury,Kolkata,Corporate,6,11568.63,23
CUST0591,Vivaan Reddy,Ahmedabad,Corporate,8,11502.15,24
CUST0242,Vivaan Singh,Bangalore,Home Office,7,11395.38,25
CUST0757,Sai Deshmukh,Bangalore,Home Office,7,11314.19,26
CUST0963,Ayaan Patel,Kolkata,Consumer,6,11253.94,27
CUST0449,Unknown Customer,Mumbai,Consumer,6,11106.08,28
CUST0442,Reyansh Kulkarni,Mumbai,Home Office,5,11007.45,29
CUST0271,Angel Das,Bangalore,Consumer,9,10993.07,30
CUST0690,Aarav Verma,Chennai,Corporate,7,10772.97,31
CUST0866,Ishaan Chawla,Mumbai,Corporate,8,10750.06,32
CUST0039,Arjun Choudhury,Jaipur,Corporate,5,10698.26,33
CUST0813,Angel Verma,Hyderabad,Corporate,9,10698.18,34
CUST0002,Aditya Das,Mumbai,Consumer,7,10614.77,35
CUST0622,Riya Deshmukh,Pune,Home Office,7,10508.81,36
CUST0452,Angel Iyer,Ahmedabad,Consumer,7,10450.53,37
CUST0350,Reyansh Kulkarni,Hyderabad,Corporate,5,10191.84,38
CUST0605,Navya Verma,Pune,Consumer,6,10167.54,39
CUST0145,Reyansh Saxena,Kolkata,Corporate,6,10166.08,40
CUST0870,Pari Mehta,Kolkata,Consumer,6,10133.31,41
CUST0275,Angel Iyer,Kolkata,Home Office,6,10059.94,42
CUST0112,Ishaan Choudhury,Pune,Home Office,6,10050.25,43
CUST0782,Aditya Das,Chennai,Consumer,6,10040.0,44
CUST0046,Riya Saxena,Hyderabad,Consumer,8,10020.47,45
CUST0267,Riya Saxena,Ahmedabad,Consumer,7,9950.21,46
CUST0615,Aditya Sen,Hyderabad,Corporate,7,9934.02,47
CUST0959,Pari Joshi,Bangalore,Consumer,7,9915.44,48
CUST0631,Ananya Verma,Delhi,Consumer,6,9883.55,49
CUST0509,Aarav Gupta,Jaipur,Home Office,7,9864.44,50
CUST0036,Vihaan Choudhury,Ahmedabad,Consumer,7,9797.77,51
CUST0041,Unknown Customer,Bangalore,Corporate,7,9796.67,52
CUST0079,Vihaan Choudhury,Bangalore,Consumer,8,9796.07,53
CUST0383,Unknown Customer,Delhi,Home Office,7,9726.01,54
CUST0272,Saanvi Gupta,Hyderabad,Corporate,6,9665.91,55
CUST0793,Myra Saxena,Delhi,Home Office,7,9634.26,56
CUST0592,Diya Deshmukh,Hyderabad,Corporate,7,9567.93,57
CUST0689,Ayaan Kapoor,Jaipur,Corporate,5,9536.22,58
